"URL","Title","Description","Provider","Timestamp"
"https://github.com/RWKV-Wiki/MultilingualShareGPT","GitHub - RWKV-Wiki/MultilingualShareGPT: MultilingualShareGPT, the ...","MultilingualShareGPT, the free multi-language corpus for LLM training - GitHub - RWKV-Wiki/MultilingualShareGPT: MultilingualShareGPT, the free multi-language corpus for LLM training","GitHub","2023-04-02T11:40:44.096000+00:00"
"https://huggingface.co/datasets/RyokoAI/ShareGPT52K","RyokoAI/ShareGPT52K · Datasets at Hugging Face",,,"2023-04-01T20:14:52.678000+00:00"
"https://github.com/radi-cho/botbots/","GitHub - radi-cho/botbots: A dataset featuring diverse dialogues be...","A dataset featuring diverse dialogues between two ChatGPT (gpt-3.5-turbo) instances with system messages written by GPT-4. Covering various contexts and tasks (task-oriented dialogue systems, abstr...","GitHub","2023-04-01T18:41:40.622000+00:00"
"https://github.com/lm-sys/FastChat/blob/main/docs/commands/data_cleaning.md","FastChat/data_cleaning.md at main · lm-sys/FastChat","The release repo for ""Vicuna: An Open Chatbot Impressing GPT-4"" - FastChat/data_cleaning.md at main · lm-sys/FastChat","GitHub","2023-04-02T21:45:51.279000+00:00"
"https://vicuna.lmsys.org/","Vicuna: An Open-Source Chatbot Impressing GPT-4 with 90%* ChatGPT Q...","by the Team with members from UC Berkeley, CMU, Stanford, and UC San Diego","Vicuna: An Open-Source Chatbot Impressing GPT-4 with 90%* ChatGPT Quality","2023-03-31T10:40:36.144000+00:00"
"https://github.com/domeccleston/sharegpt/issues/71","Method not allowed : curl -X GET ""https://sharegpt.com/api/conversa...","GET /api/conversations (for fetching conversations) Can you open it?","GitHub","2023-03-31T08:31:46.696000+00:00"
"https://github.com/domeccleston/sharegpt","GitHub - domeccleston/sharegpt: Easily share permanent links to Cha...","Easily share permanent links to ChatGPT conversations with your friends - GitHub - domeccleston/sharegpt: Easily share permanent links to ChatGPT conversations with your friends","GitHub","2023-03-31T05:38:12.541000+00:00"
"https://huggingface.co/datasets/Nebulous/gpt4all_pruned/blob/main/data_pruned_3.jsonl","data_pruned_3.jsonl · Nebulous/gpt4all_pruned at main",,,"2023-03-31T01:19:06.221000+00:00"
"https://github.com/RyokoAI/BigKnow2022","GitHub - RyokoAI/BigKnow2022: BigKnow2022: Bringing Language Models...","BigKnow2022: Bringing Language Models Up to Speed. Contribute to RyokoAI/BigKnow2022 development by creating an account on GitHub.","GitHub","2023-03-30T03:17:44.587000+00:00"
"https://tenor.com/view/smart-thinking-thoughts-think-ponder-gif-7713620",,,"Tenor","2023-03-29T13:14:49.258000+00:00"
